0,1,2,3,4,5
5494654,3,0.0085635,99.9481,41.287,-37.5206
5545983,1,0.010355,99.9464,-63.4529,50.9116
5545983,3,0.0736177,99.9471,-63.4519,50.9136
5641228,1,0.06332,99.9997,-64.3436,54.8306
5641228,5,0.000937005,99.9997,-64.3436,54.8308
5641228,5,0.000718947,99.9998,-64.3437,54.8309
5641228,5,0.0022884,99.9998,-64.3438,54.831
5641228,5,0.00095438,99.9999,-64.3438,54.831
5641228,5,0.000272929,99.9999,-64.3439,54.831
5641228,5,0.000291607,99.9998,-64.3439,54.8309
5641228,5,0.000942009,99.9998,-64.3439,54.8309
5641228,5,0.00110903,99.9999,-64.3439,54.8308
5641228,5,0.000207992,99.9999,-64.344,54.8308
5641228,5,0.000685272,99.9999,-64.344,54.8308
5641228,5,0.00108722,99.9999,-64.344,54.8308
5641228,5,0.00355172,99.9998,-64.344,54.8308
5743215,1,0.06332,99.3098,35.0443,-39.3274
5743215,4,0.0159611,99.3096,35.0442,-39.3273
6188468,1,0.010355,99.4214,24.1408,-63.908
6188468,3,0.0517365,99.4205,24.1415,-63.9074
6233544,1,0.010355,99.8899,69.7303,32.0677
6233544,3,0.0465199,99.8897,69.7307,32.0667
6377879,1,0.06332,99.7716,74.3137,-49.6562
6377879,4,0.0446186,99.7717,74.3127,-49.6561
6426609,1,0.06332,99.4137,53.6684,9.74684
6426609,3,0.018347,99.4135,53.6685,9.74673
6475414,1,0.010355,-51.0225,-22.3635,79.9587
6475414,6,0.0925464,-51.0248,-22.3621,79.9568
6518725,1,0.06332,99.9936,63.8957,13.2186
6518725,4,0.0328936,99.9932,63.8961,13.2189
6564471,1,0.010355,98.8202,28.8124,42.9961
6564471,3,0.0528701,98.8211,28.8122,42.9951
6619521,1,0.06332,99.612,44.7855,57.3045
6619521,4,0.00804126,99.612,44.7856,57.3045
6619521,3,0.00797026,99.718,44.8488,56.8746
6671495,1,0.010355,99.9879,74.2785,-72.1597
6671495,3,0.0242684,99.988,74.2784,-72.1601
6772466,1,0.06332,99.8205,-20.8213,2.58131
6772466,3,0.0254388,99.8203,-20.8214,2.58168
6821738,1,0.06332,99.6098,-38.5389,-78.9255
6821738,3,0.0453906,99.6091,-38.5382,-78.925
6822607,1,0.010355,99.4082,22.1758,-64.6419
6822607,3,0.0264558,99.4082,22.1753,-64.6418
6963984,1,0.00227,99.9677,-73.6774,69.2154
6963984,3,0.0450179,99.9672,-73.6766,69.2158
6964051,1,0.010876,99.6911,3.45129,-22.7008
6964051,3,0.0512292,99.6902,3.4518,-22.7016
7067823,1,0.010355,99.7911,-13.3847,72.1215
7067823,3,0.024245,99.7908,-13.3846,72.1217
7070068,1,0.06332,99.7828,-46.3897,72.237
7070068,3,0.015573,99.7827,-46.3898,72.237
7160356,1,0.06332,99.8166,-24.5764,48.6282
